agno|fecha_bbdd|codigo_bbdd|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|nalu_lect8b_com|nalu_mate8b_com|nalu_nat8b_com|prom_lect8b_com|prom_mate8b_com|prom_nat8b_com|dif_lect8b_com|dif_mate8b_com|dif_nat8b_com|sigdif_lect8b_com|sigdif_mate8b_com|sigdif_nat8b_com
2015|20160908|"final20160908v1"|"8b"|5|"VALPARAÍSO"|5|"QUILLOTA"|4|"LA CRUZ"|1|"QUILLOTA - PETORCA"|125|123|128|230|245|247|-2|-5|-12|0|0|0
2015|20160908|"final20160908v1"|"8b"|6|"LIBERTADOR GENERAL BERNARDO O'HIGGINS"|2|"CARDENAL CARO"|18|"LA ESTRELLA"|2|"CARDENAL CARO"|16|18|17|253|269|242|10|13|-7|0|0|0
2015|20160908|"final20160908v1"|"8b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|1|"LA FLORIDA"|1|"CORDILLERA"|4877|4893|4883|240|265|269|3|2|-8|0|0|-1
2015|20160908|"final20160908v1"|"8b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|38|"LA GRANJA"|6|"SANTIAGO SUR"|1324|1355|1367|229|252|253|-2|1|-6|0|0|0
2015|20160908|"final20160908v1"|"8b"|4|"COQUIMBO"|1|"ELQUI"|7|"LA HIGUERA"|2|"ELQUI"|49|46|47|212|223|231|-7|4|-6|0|0|0
2015|20160908|"final20160908v1"|"8b"|5|"VALPARAÍSO"|4|"PETORCA"|5|"LA LIGUA"|1|"QUILLOTA - PETORCA"|492|495|493|239|251|261|1|-1|-5|0|0|0
2015|20160908|"final20160908v1"|"8b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|2|"LA PINTANA"|1|"CORDILLERA"|2248|2238|2243|229|252|253|9|4|-3|1|0|0
2015|20160908|"final20160908v1"|"8b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|18|"LA REINA"|4|"SANTIAGO ORIENTE"|1493|1506|1508|258|292|290|-1|4|-5|0|0|0
2015|20160908|"final20160908v1"|"8b"|4|"COQUIMBO"|1|"ELQUI"|8|"LA SERENA"|2|"ELQUI"|3184|3225|3224|246|267|271|2|-1|-9|0|0|-1
2015|20160908|"final20160908v1"|"8b"|14|"LOS RÍOS"|2|"RANCO"|2|"LA UNIÓN"|1|"RANCO"|542|547|545|254|263|268|16|12|4|1|1|0
