agno|fecha_bbdd|codigo_bbdd|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|nalu_lect2b_com|prom_lect2b_com|dif_lect2b_com|sigdif_lect2b_com
2015|20160908|"final20160908v1"|"2b"|5|"VALPARAÍSO"|7|"SAN FELIPE DE ACONCAGUA"|21|"LLAILLAY"|3|"SAN FELIPE - LOS ANDES"|340|241|-7|0
2015|20160908|"final20160908v1"|"2b"|10|"LOS LAGOS"|1|"LLANQUIHUE"|16|"LLANQUIHUE"|2|"LLANQUIHUE"|226|250|-4|0
2015|20160908|"final20160908v1"|"2b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|20|"LO BARNECHEA"|4|"SANTIAGO ORIENTE"|1458|279|-1|0
2015|20160908|"final20160908v1"|"2b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|39|"LO ESPEJO"|6|"SANTIAGO SUR"|872|238|2|0
2015|20160908|"final20160908v1"|"2b"|13|"METROPOLITANA DE SANTIAGO"|1|"SANTIAGO"|29|"LO PRADO"|5|"SANTIAGO PONIENTE"|905|246|4|0
2015|20160908|"final20160908v1"|"2b"|6|"LIBERTADOR GENERAL BERNARDO O'HIGGINS"|3|"COLCHAGUA"|26|"LOLOL"|3|"COLCHAGUA"|68|260|3|0
2015|20160908|"final20160908v1"|"2b"|9|"LA ARAUCANÍA"|1|"CAUTÍN"|15|"LONCOCHE"|2|"CAUTÍN SUR"|312|246|-5|0
2015|20160908|"final20160908v1"|"2b"|7|"MAULE"|4|"LINARES"|15|"LONGAVÍ"|3|"LINARES"|340|249|2|0
2015|20160908|"final20160908v1"|"2b"|9|"LA ARAUCANÍA"|2|"MALLECO"|26|"LONQUIMAY"|3|"MALLECO"|133|239|8|0
2015|20160908|"final20160908v1"|"2b"|5|"VALPARAÍSO"|3|"LOS ANDES"|22|"LOS ANDES"|3|"SAN FELIPE - LOS ANDES"|976|255|0|0
2015|20160908|"final20160908v1"|"2b"|14|"LOS RÍOS"|1|"VALDIVIA"|7|"LOS LAGOS"|2|"VALDIVIA"|279|241|-3|0
2015|20160908|"final20160908v1"|"2b"|10|"LOS LAGOS"|1|"LLANQUIHUE"|17|"LOS MUERMOS"|2|"LLANQUIHUE"|244|252|1|0
2015|20160908|"final20160908v1"|"2b"|9|"LA ARAUCANÍA"|2|"MALLECO"|27|"LOS SAUCES"|3|"MALLECO"|78|251|-6|0
2015|20160908|"final20160908v1"|"2b"|4|"COQUIMBO"|2|"CHOAPA"|3|"LOS VILOS"|1|"CHOAPA"|271|255|5|0
2015|20160908|"final20160908v1"|"2b"|8|"BIOBÍO"|2|"ARAUCO"|6|"LOS ÁLAMOS"|1|"ARAUCO"|311|246|-7|0
2015|20160908|"final20160908v1"|"2b"|8|"BIOBÍO"|3|"BIOBÍO"|12|"LOS ÁNGELES"|2|"BIOBÍO"|2676|252|-5|0
2015|20160908|"final20160908v1"|"2b"|8|"BIOBÍO"|1|"CONCEPCIÓN"|28|"LOTA"|3|"CONCEPCIÓN"|566|250|1|0
